source_city,target_city,edge_weight,shared_projects
Beijing,Shanghai,591,591
New York,San Francisco,573,573
San Francisco,Tokyo,557,557
Beijing,Tokyo,495,495
London,San Francisco,476,476
New York,Tokyo,430,430
San Francisco,Seattle,420,420
Shanghai,Tokyo,413,413
Beijing,Hangzhou,413,413
London,Tokyo,405,405
Beijing,San Francisco,403,403
London,New York,392,392
Hangzhou,Shanghai,349,349
San Francisco,Shanghai,347,347
New York,Seattle,338,338
Beijing,Shenzhen,335,335
Seattle,Tokyo,334,334
Beijing,Singapore,331,331
Berlin,San Francisco,319,319
Bengaluru,San Francisco,314,314
Paris,San Francisco,308,308
Beijing,New York,304,304
Shanghai,Shenzhen,303,303
Beijing,London,301,301
London,Seattle,298,298
Singapore,Tokyo,296,296
Hangzhou,Tokyo,287,287
San Francisco,Singapore,285,285
New York,Shanghai,271,271
Shanghai,Singapore,270,270
Paris,Tokyo,264,264
San Francisco,Toronto,260,260
New York,Singapore,257,257
London,Shanghai,256,256
New York,Paris,255,255
Berlin,New York,253,253
Berlin,London,250,250
Beijing,Hong Kong,248,248
Bengaluru,New York,248,248
Berlin,Tokyo,247,247
Bengaluru,Tokyo,246,246
New York,Toronto,243,243
Shenzhen,Tokyo,240,240
Beijing,Seattle,240,240
London,Paris,240,240
Seoul,Tokyo,239,239
San Francisco,Seoul,239,239
London,Singapore,234,234
Bengaluru,London,229,229
Hangzhou,Shenzhen,222,222
Hong Kong,Shanghai,221,221
Hangzhou,San Francisco,220,220
Beijing,Seoul,213,213
London,Toronto,205,205
Berlin,Seattle,204,204
Austin,San Francisco,203,203
Boston,San Francisco,203,203
Los Angeles,San Francisco,202,202
New York,Seoul,201,201
Seattle,Shanghai,198,198
Tokyo,Toronto,197,197
Bengaluru,Seattle,194,194
London,Seoul,193,193
Munich,San Francisco,191,191
Beijing,Guangzhou,189,189
Seattle,Singapore,187,187
Austin,New York,187,187
Hong Kong,Tokyo,187,187
San Francisco,Zurich,187,187
San Francisco,Vancouver,186,186
Boston,New York,183,183
Seoul,Shanghai,183,183
San Francisco,Shenzhen,181,181
Berlin,Paris,180,180
Seattle,Toronto,178,178
Paris,Seattle,177,177
Beijing,Berlin,176,176
Los Angeles,Tokyo,175,175
Beijing,Bengaluru,173,173
Los Angeles,New York,173,173
Hangzhou,Singapore,173,173
Hangzhou,London,171,171
Boston,London,171,171
Beijing,Paris,171,171
Beijing,Chengdu,169,169
Amsterdam,San Francisco,169,169
Beijing,Toronto,168,168
Chicago,San Francisco,168,168
Boston,Tokyo,168,168
Seattle,Seoul,164,164
Hangzhou,New York,164,164
Guangzhou,Shanghai,164,164
Shenzhen,Singapore,163,163
Tokyo,Vancouver,161,161
New York,Zurich,161,161
Bengaluru,Paris,160,160
New York,Vancouver,157,157
Chengdu,Shanghai,157,157
Munich,Tokyo,156,156
Austin,London,156,156
Chicago,New York,156,156
Austin,Tokyo,155,155
Berlin,Singapore,155,155
Bengaluru,Berlin,154,154
London,Munich,153,153
Berlin,Shanghai,152,152
Bengaluru,Shanghai,151,151
Beijing,Los Angeles,150,150
Cambridge,San Francisco,150,150
Hong Kong,San Francisco,150,150
Amsterdam,Tokyo,149,149
London,Shenzhen,149,149
New York,Shenzhen,149,149
Austin,Seattle,148,148
London,Los Angeles,148,148
Munich,New York,147,147
Beijing,Nanjing,147,147
Mountain View,San Francisco,147,147
Shanghai,Toronto,147,147
Paris,Shanghai,146,146
Hong Kong,Singapore,145,145
Seoul,Singapore,145,145
Tokyo,Zurich,145,145
Paris,Seoul,144,144
Boston,Seattle,143,143
Paris,Singapore,143,143
Chicago,Tokyo,140,140
Amsterdam,New York,139,139
Amsterdam,London,139,139
Hong Kong,New York,139,139
Beijing,Boston,138,138
San Francisco,San Jose,138,138
Los Angeles,Seattle,138,138
London,Vancouver,138,138
Paris,Toronto,137,137
Bengaluru,Seoul,137,137
London,Zurich,137,137
Bengaluru,Singapore,137,137
Melbourne,San Francisco,136,136
Berlin,Toronto,136,136
Singapore,Toronto,135,135
Montreal,San Francisco,134,134
Chicago,London,134,134
Seattle,Vancouver,134,134
Berlin,Seoul,133,133
Munich,Seattle,133,133
Bengaluru,Toronto,132,132
Hong Kong,Shenzhen,132,132
Beijing,Munich,132,132
San Francisco,Sydney,131,131
Sydney,Tokyo,131,131
Nanjing,Shanghai,129,129
Barcelona,San Francisco,128,128
Seattle,Zurich,128,128
Hangzhou,Seattle,128,128
Seoul,Toronto,128,128
Palo Alto,San Francisco,127,127
Hangzhou,Hong Kong,127,127
Cambridge,Tokyo,127,127
Guangzhou,Hangzhou,126,126
Barcelona,New York,126,126
Melbourne,New York,126,126
Munich,Paris,125,125
Chengdu,Hangzhou,125,125
Hong Kong,London,125,125
Beijing,Wuhan,123,123
Cambridge,New York,123,123
London,Montreal,121,121
Mumbai,San Francisco,121,121
Amsterdam,Berlin,121,121
Guangzhou,Tokyo,121,121
Los Angeles,Shanghai,121,121
Montreal,New York,120,120
Berlin,Munich,119,119
Austin,Beijing,119,119
Boston,Shanghai,118,118
Cambridge,London,118,118
New York,San Jose,118,118
Madrid,San Francisco,118,118
Montreal,Tokyo,117,117
San Francisco,Taipei,116,116
Beijing,Cambridge,116,116
New York,Sydney,116,116
Barcelona,Tokyo,115,115
Munich,Shanghai,115,115
Chicago,Seattle,115,115
Beijing,Zurich,115,115
San Jose,Tokyo,115,115
Shanghai,Wuhan,114,114
London,Melbourne,114,114
Bengaluru,Boston,114,114
Amsterdam,Seattle,114,114
Nanjing,Tokyo,113,113
Palo Alto,Tokyo,112,112
Redmond,Seattle,112,112
Melbourne,Tokyo,112,112
Austin,Shanghai,112,112
Taipei,Tokyo,111,111
London,Sydney,111,111
Mountain View,New York,111,111
Pune,San Francisco,110,110
Hangzhou,Seoul,110,110
Chengdu,Tokyo,109,109
Pune,Tokyo,109,109
Beijing,Vancouver,109,109
Atlanta,San Francisco,109,109
Bengaluru,Pune,108,108
Los Angeles,Singapore,108,108
London,San Jose,108,108
Austin,Toronto,107,107
Austin,Bengaluru,107,107
Amsterdam,Paris,107,107
Berlin,Boston,107,107
Austin,Berlin,107,107
Hangzhou,Nanjing,106,106
San Francisco,Washington,106,106
Barcelona,London,105,105
Guangzhou,Shenzhen,105,105
Boston,Singapore,105,105
Seattle,Shenzhen,105,105
Pittsburgh,San Francisco,105,105
Boston,Toronto,104,104
Chengdu,Shenzhen,104,104
Beijing,San Jose,104,104
London,Mountain View,104,104
New York,Washington,104,104
Bengaluru,Hangzhou,102,102
Los Angeles,Paris,102,102
Berlin,Zurich,102,102
Bengaluru,Munich,102,102
Bengaluru,Los Angeles,102,102
Austin,Paris,101,101
Beijing,Chicago,101,101
Bengaluru,Mumbai,101,101
Madrid,New York,101,101
