source_city,target_city,month,edge_weight
Geneva,London,202202,1
Geneva,London,202204,1
Geneva,London,202206,1
Geneva,London,202207,1
Geneva,London,202210,1
Geneva,London,202212,1
Geneva,London,202303,1
Geneva,London,202304,1
Geneva,London,202310,1
Geneva,London,202401,1
Geneva,London,202407,1
Geneva,London,202408,1
Geneva,London,202506,1
Geneva,San Francisco,202202,1
Geneva,San Francisco,202207,1
Geneva,San Francisco,202208,1
Geneva,San Francisco,202210,1
Geneva,San Francisco,202212,1
Geneva,San Francisco,202301,1
Geneva,San Francisco,202302,1
Geneva,San Francisco,202303,1
Geneva,San Francisco,202304,1
Geneva,San Francisco,202310,1
Geneva,San Francisco,202401,1
Geneva,San Francisco,202407,1
Geneva,San Francisco,202506,1
Geneva,San Francisco,202510,1
Geneva,Shanghai,202202,1
Geneva,Shanghai,202208,1
Geneva,Shanghai,202210,1
Geneva,Shanghai,202212,1
Geneva,Shanghai,202301,1
Geneva,Shanghai,202303,1
Geneva,Shanghai,202304,1
Geneva,Shanghai,202310,1
Geneva,Shanghai,202401,1
Geneva,Shanghai,202402,1
Geneva,Shanghai,202407,1
Geneva,Shanghai,202408,1
Geneva,Shanghai,202506,1
Geneva,Shenzhen,202202,1
Geneva,Shenzhen,202212,1
Geneva,Shenzhen,202301,1
Geneva,Shenzhen,202304,1
Geneva,Shenzhen,202407,1
Geneva,Shenzhen,202408,1
Geneva,Tokyo,202202,1
Geneva,Tokyo,202204,1
Geneva,Tokyo,202206,1
Geneva,Tokyo,202208,1
Geneva,Tokyo,202210,1
Geneva,Tokyo,202212,1
Geneva,Tokyo,202303,1
Geneva,Tokyo,202304,1
Geneva,Tokyo,202305,1
Geneva,Tokyo,202306,1
Geneva,Tokyo,202310,1
Geneva,Tokyo,202401,1
Geneva,Tokyo,202407,1
Geneva,Tokyo,202408,1
Geneva,Tokyo,202412,1
London,San Francisco,202201,1
London,San Francisco,202202,1
London,San Francisco,202203,1
London,San Francisco,202204,1
London,San Francisco,202205,1
London,San Francisco,202206,1
London,San Francisco,202207,1
London,San Francisco,202208,1
London,San Francisco,202209,1
London,San Francisco,202210,1
London,San Francisco,202211,1
London,San Francisco,202212,1
London,San Francisco,202301,1
London,San Francisco,202302,1
London,San Francisco,202303,1
London,San Francisco,202304,1
London,San Francisco,202305,1
London,San Francisco,202306,1
London,San Francisco,202307,1
London,San Francisco,202308,1
London,San Francisco,202309,1
London,San Francisco,202310,1
London,San Francisco,202311,1
London,San Francisco,202312,1
London,San Francisco,202401,1
London,San Francisco,202402,1
London,San Francisco,202403,1
London,San Francisco,202404,1
London,San Francisco,202405,1
London,San Francisco,202406,1
London,San Francisco,202407,1
London,San Francisco,202408,1
London,San Francisco,202410,1
London,San Francisco,202411,1
London,San Francisco,202412,1
London,San Francisco,202501,1
London,San Francisco,202502,1
London,San Francisco,202503,1
London,San Francisco,202504,1
London,San Francisco,202505,1
