city,country,lat,lon,entity_count,origination_count,origination_rate,adoption_count,adoption_rate,avg_lag,median_lag,collaboration_count,weighted_degree,betweenness,eigenvector_centrality,population_million,gdp_per_capita,education_tertiary_pct,internet_users_pct,rd_expenditure_pct,research_capacity,timezone_utc,region,origination_rate_pop,adoption_rate_pop,collaboration_rate_pop,cluster,role,lag_std,avg_lag_nonorig,cross_region_ratio_calc,pop_top25_share,orig_top25_share,lag_quality_corr,avg_fork_star_ratio
Beijing,China,39.9042,116.4074,2239,653.0,0.2916480571683787,2126,0.9495310406431444,3.96,0.0,10471.0,10471,0.0,0.260834236840173,21.5,12720,60.0,73.0,2.55,3,8.0,East Asia,30.37,98.88,487.02,2.0,Global Innovation Hub,7.200403720258545,5.722335369993211,0.6810237799637093,0.5173393973848778,0.30695234169333013,0.16250396927667934,0.5240880982805135
San Francisco,United States,37.7749,-122.4194,2190,1802.0,0.8228310502283105,3757,1.7155251141552512,3.9,0.0,13337.0,13337,0.0,0.3188226533751631,4.7,76330,88.2,92.0,3.46,2,-8.0,North America,383.4,799.36,2837.66,2.0,Global Innovation Hub,8.09375242954507,7.49156010230179,0.6721901477093799,0.5294663573085847,0.3640960614349521,0.18202119508571396,0.5147495256001988
Shanghai,China,31.2304,121.4737,1609,269.0,0.1671845866998135,1416,0.8800497203231821,4.66,2.0,9198.0,9198,0.0,0.2306057384286158,24.9,12720,60.0,73.0,2.55,2,8.0,East Asia,10.8,56.87,369.4,2.0,Global Innovation Hub,6.908791417757923,5.752397558849172,0.6732985431615569,0.552790346907994,0.23170780032493848,0.10317512860673282,0.6666589264744937
New York,United States,40.7128,-74.006,1373,496.0,0.3612527312454479,1594,1.1609613983976694,4.66,1.0,11214.0,11214,0.0,0.2663726135849939,20.1,76330,88.2,92.0,3.46,3,-5.0,North America,24.68,79.3,557.91,2.0,Global Innovation Hub,7.479831688246481,6.761384335154827,0.658908507223114,0.543859649122807,0.2934409220983792,0.1353847497484658,0.20006737582759182
London,United Kingdom,51.5074,-0.1278,1081,633.0,0.5855689176688251,1784,1.6503237742830712,4.49,1.0,10389.0,10389,0.0,0.248540306136813,9.6,46125,62.0,95.0,2.9,5,0.0,Europe,65.94,185.83,1082.19,2.0,Global Innovation Hub,7.568710065889533,6.959165942658558,0.7491577630185774,0.5662020905923345,0.19375267930156237,0.13593048510054997,0.22775431002710006
Seattle,United States,47.60620000000001,-122.3321,844,382.0,0.45260663507109,1226,1.45260663507109,4.16,1.0,8762.0,8762,0.0001917547723383,0.2135241950758361,4.0,76330,88.2,92.0,3.46,1,-8.0,North America,95.5,306.5,2190.5,2.0,Global Innovation Hub,6.936919653543761,6.048578199052133,0.6438027847523397,0.5212264150943396,0.2499292759745771,0.169703236265424,0.2393810164244529
Hangzhou,China,30.2741,120.1551,828,533.0,0.643719806763285,1233,1.4891304347826086,3.62,0.0,6463.0,6463,0.0002391887937723,0.1771633984757527,12.2,12720,60.0,73.0,2.55,1,8.0,East Asia,43.69,101.07,529.75,2.0,Global Innovation Hub,6.928121514367787,6.3757142857142854,0.6500077363453505,0.6186540731995277,0.38002694903945305,0.16473707318153336,0.13778484226983762
Paris,France,48.8566,2.3522,693,288.0,0.4155844155844156,934,1.3477633477633475,5.17,1.0,7000.0,7000,0.0,0.1693643696947439,12.3,42330,67.0,92.0,2.22,4,0.0,Europe,23.41,75.93,569.11,2.0,Global Innovation Hub,7.913106707828775,7.479876160990712,0.716,0.578386605783866,0.2136127170619202,0.15128734234126354,0.3803145939033784
Bengaluru,India,12.971600000000002,77.5946,685,52.0,0.075912408759124,683,0.997080291970803,7.56,5.0,6940.0,6940,0.0001126236123707,0.1633373119947514,12.3,2485,30.0,52.0,0.65,1,5.0,South Asia,4.23,55.53,564.23,1.0,Global Bridge,8.622423999462418,8.185419968304279,0.9203170028818444,0.556047197640118,0.10487976915678102,0.19374012615927239,0.32310444240787645
Singapore,Singapore,1.3521,103.8198,657,224.0,0.3409436834094368,916,1.3942161339421613,5.57,1.0,7421.0,7421,0.0001710611597323,0.1831017883103096,5.9,65640,91.0,96.0,1.93,2,7.0,Southeast Asia,37.97,155.25,1257.8,2.0,Global Innovation Hub,8.424525215015516,7.378612716763006,0.9885460180568657,0.5735294117647058,0.31377077321791175,0.2134040466856733,0.16798973056907177
