source_city,target_city,edge_weight,shared_projects
New York,San Francisco,595,595
Beijing,Shanghai,593,593
San Francisco,Tokyo,565,565
London,San Francisco,516,516
Beijing,Tokyo,498,498
San Francisco,Seattle,455,455
New York,Tokyo,440,440
Beijing,Hangzhou,436,436
Beijing,San Francisco,426,426
Shanghai,Tokyo,415,415
London,Tokyo,408,408
London,New York,407,407
Hangzhou,San Francisco,403,403
Hangzhou,Shanghai,361,361
Paris,San Francisco,353,353
San Francisco,Shanghai,352,352
New York,Seattle,344,344
Beijing,Shenzhen,337,337
Seattle,Tokyo,334,334
Beijing,Singapore,332,332
Berlin,San Francisco,321,321
Bengaluru,San Francisco,316,316
Beijing,London,314,314
Beijing,New York,307,307
Shanghai,Shenzhen,303,303
London,Seattle,299,299
Singapore,Tokyo,296,296
Hangzhou,Tokyo,290,290
San Francisco,Singapore,285,285
San Francisco,Toronto,283,283
New York,Shanghai,275,275
New York,Paris,273,273
Shanghai,Singapore,270,270
Paris,Tokyo,263,263
New York,Singapore,259,259
London,Shanghai,259,259
Berlin,New York,256,256
Berlin,London,252,252
London,Paris,250,250
New York,Toronto,249,249
Beijing,Hong Kong,248,248
Bengaluru,New York,248,248
Berlin,Tokyo,247,247
Beijing,Seattle,247,247
Bengaluru,Tokyo,246,246
Shenzhen,Tokyo,240,240
San Francisco,Seoul,240,240
Seoul,Tokyo,239,239
London,Singapore,235,235
Bengaluru,London,231,231
Hangzhou,Shenzhen,225,225
Hong Kong,Shanghai,224,224
Hangzhou,Seattle,221,221
Los Angeles,San Francisco,216,216
Beijing,Seoul,213,213
Boston,San Francisco,210,210
London,Toronto,208,208
Austin,San Francisco,205,205
New York,Seoul,205,205
Berlin,Seattle,204,204
Seattle,Shanghai,199,199
Tokyo,Toronto,197,197
London,Seoul,195,195
Munich,San Francisco,195,195
Bengaluru,Seattle,194,194
Paris,Seattle,193,193
Beijing,Guangzhou,189,189
Austin,New York,189,189
San Francisco,Zurich,188,188
Seattle,Singapore,187,187
Hong Kong,Tokyo,187,187
San Francisco,Vancouver,186,186
Boston,New York,186,186
San Francisco,Shenzhen,183,183
Seoul,Shanghai,183,183
Seattle,Toronto,179,179
Berlin,Paris,179,179
Los Angeles,New York,177,177
Beijing,Berlin,176,176
Hangzhou,Singapore,176,176
Los Angeles,Tokyo,176,176
Boston,London,175,175
Hangzhou,London,175,175
Beijing,Paris,175,175
Beijing,Bengaluru,173,173
Beijing,Toronto,171,171
Amsterdam,San Francisco,170,170
Boston,Tokyo,169,169
Chicago,San Francisco,169,169
Beijing,Chengdu,169,169
Hangzhou,New York,165,165
Seattle,Seoul,164,164
Guangzhou,Shanghai,164,164
Shenzhen,Singapore,163,163
New York,Zurich,162,162
Tokyo,Vancouver,161,161
