source_city,target_city,month,edge_weight
Beijing,Guangzhou,202201,1
Beijing,Guangzhou,202202,1
Beijing,Guangzhou,202204,1
Beijing,Guangzhou,202205,1
Beijing,Guangzhou,202206,1
Beijing,Guangzhou,202207,1
Beijing,Guangzhou,202208,1
Beijing,Guangzhou,202209,1
Beijing,Guangzhou,202210,1
Beijing,Guangzhou,202211,1
Beijing,Guangzhou,202212,1
Beijing,Guangzhou,202301,1
Beijing,Guangzhou,202302,1
Beijing,Guangzhou,202303,1
Beijing,Guangzhou,202304,1
Beijing,Guangzhou,202305,1
Beijing,Guangzhou,202306,1
Beijing,Guangzhou,202307,1
Beijing,Guangzhou,202308,1
Beijing,Guangzhou,202309,1
Beijing,Guangzhou,202310,1
Beijing,Guangzhou,202311,1
Beijing,Guangzhou,202312,1
Beijing,Guangzhou,202401,1
Beijing,Guangzhou,202402,1
Beijing,Guangzhou,202403,1
Beijing,Guangzhou,202404,1
Beijing,Guangzhou,202405,1
Beijing,Guangzhou,202406,1
Beijing,Guangzhou,202407,1
Beijing,Guangzhou,202409,1
Beijing,Guangzhou,202410,1
Beijing,Guangzhou,202411,1
Beijing,Guangzhou,202412,1
Beijing,Guangzhou,202501,1
Beijing,Guangzhou,202502,1
Beijing,Guangzhou,202503,1
Beijing,Guangzhou,202504,1
Beijing,Guangzhou,202505,1
Beijing,Guangzhou,202506,1
Beijing,Guangzhou,202507,1
Beijing,Guangzhou,202508,1
Beijing,Guangzhou,202509,1
Beijing,Guangzhou,202512,1
Beijing,Hong Kong,202201,1
Beijing,Hong Kong,202202,1
Beijing,Hong Kong,202203,1
Beijing,Hong Kong,202204,1
Beijing,Hong Kong,202205,1
Beijing,Hong Kong,202206,1
Beijing,Hong Kong,202207,1
Beijing,Hong Kong,202208,1
Beijing,Hong Kong,202209,1
Beijing,Hong Kong,202210,1
Beijing,Hong Kong,202211,1
Beijing,Hong Kong,202212,1
Beijing,Hong Kong,202301,1
Beijing,Hong Kong,202302,1
Beijing,Hong Kong,202303,1
Beijing,Hong Kong,202304,1
Beijing,Hong Kong,202305,1
Beijing,Hong Kong,202306,1
Beijing,Hong Kong,202307,1
Beijing,Hong Kong,202308,1
Beijing,Hong Kong,202309,1
Beijing,Hong Kong,202310,1
Beijing,Hong Kong,202311,1
Beijing,Hong Kong,202312,1
Beijing,Hong Kong,202401,1
Beijing,Hong Kong,202402,1
Beijing,Hong Kong,202403,1
Beijing,Hong Kong,202404,1
