entity_id,entity_type,raw_location,platform,cleaned_location,matched_city,country,lat,lon,confidence
AccumulateMore,github_user,,GitHub,,,,,,none
mikeroyal,github_user,"California, USA",GitHub,"California, USA",California,United States,36.7014631,-118.755997,medium
zai-org,github_organization,,GitHub,,,,,,none
bigscience-workshop,github_organization,,GitHub,,,,,,none
nebuly-ai,github_organization,San Francisco,GitHub,San Francisco,San Francisco,United States,37.7749,-122.4194,high
apache,github_organization,,GitHub,,,,,,none
postgresml,github_organization,,GitHub,,,,,,none
tensorchord,github_organization,,GitHub,,,,,,none
liyupi,github_user,China Shanghai,GitHub,China Shanghai,Shanghai,China,31.2304,121.4737,medium
Giskard-AI,github_organization,France,GitHub,France,,,,,low
salesforce,github_organization,United States of America,GitHub,United States of America,,,,,low
katanaml,github_organization,Worldwide,GitHub,Worldwide,Sydney,Australia,-33.8938107,151.2621478,medium
deepflowio,github_organization,China,GitHub,China,,,,,low
PaddlePaddle,github_organization,,GitHub,,,,,,none
pingcap,github_organization,,GitHub,,,,,,none
instill-ai,github_organization,United Kingdom,GitHub,United Kingdom,,,,,low
QIN2DIM,github_user,127.0.0.1:443,GitHub,127.0.0.1:443,Colorado,United States,40.9505091,-106.1825081,medium
Timothyxxx,github_user,"Hong Kong, SAR",GitHub,"Hong Kong, SAR",Hong Kong,China,22.3193,114.1694,high
beelzebub-labs,github_organization,Italy,GitHub,Italy,,,,,low
nhaouari,github_user,,GitHub,,,,,,none
coderonion,github_user,,GitHub,,,,,,none
Tongjilibo,github_user,"Shanghai,China",GitHub,"Shanghai,China",Shanghai,China,31.2304,121.4737,high
koreainvestment,github_user,,GitHub,,,,,,none
skygazer42,github_user,,GitHub,,,,,,none
OpenBioLink,github_organization,,GitHub,,,,,,none
datawhalechina,github_organization,,GitHub,,,,,,none
taishi-i,github_user,,GitHub,,,,,,none
sophgo,github_organization,China,GitHub,China,,,,,low
microsoft,github_organization,"Redmond, WA",GitHub,"Redmond, WA",Redmond,United States,47.674,-122.1215,high
Muennighoff,github_user,Stanford,GitHub,Stanford,Palo Alto,United States,37.4265407,-122.1703055,medium
lucidrains,github_user,San Francisco,GitHub,San Francisco,San Francisco,United States,37.7749,-122.4194,high
primeqa,github_organization,,GitHub,,,,,,none
fluxninja,github_organization,San Francisco,GitHub,San Francisco,San Francisco,United States,37.7749,-122.4194,high
nuclia,github_organization,,GitHub,,,,,,none
Canner,github_organization,Global,GitHub,Global,Copenhagen,Denmark,55.702215,12.5592485,medium
charliedream1,github_user,,GitHub,,,,,,none
google,github_organization,United States of America,GitHub,United States of America,,,,,low
RunLLM,github_organization,,GitHub,,,,,,none
nickchen121,github_user,,GitHub,,,,,,none
monoscope-tech,github_organization,Germany,GitHub,Germany,,,,,low
karthikv792,github_user,Tempe,GitHub,Tempe,Tempe,United States,33.4255117,-111.940016,medium
michiyasunaga,github_user,,GitHub,,,,,,none
hiDaDeng,github_user,China,GitHub,China,,,,,low
cardiffnlp,github_organization,United Kingdom,GitHub,United Kingdom,,,,,low
ymcui,github_user,"Beijing, China",GitHub,"Beijing, China",Beijing,China,39.9042,116.4074,high
allenai,github_organization,"Seattle, WA",GitHub,"Seattle, WA",Seattle,United States,47.6062,-122.3321,high
nshiab,github_user,"Montreal, Canada",GitHub,"Montreal, Canada",Montreal,Canada,45.5017,-73.5673,high
avkash,github_user,"San Mateo, CA, USA",GitHub,"San Mateo, CA, USA",California,United States,37.496904,-122.3330573,medium
songlab-cal,github_organization,"University of California, Berkeley",GitHub,"University of California, Berkeley",Irvine,United States,33.6487724,-117.8364995,medium
CarperAI,github_organization,,GitHub,,,,,,none
zhengzangw,github_user,Singapore,GitHub,Singapore,Singapore,Singapore,1.3521,103.8198,high
apicat,github_organization,China,GitHub,China,,,,,low
huangwl18,github_user,"Stanford, CA",GitHub,"Stanford, CA",Palo Alto,United States,37.4265407,-122.1703055,medium
txsun1997,github_user,Shanghai,GitHub,Shanghai,Shanghai,China,31.2304,121.4737,high
abusufyanvu,github_user,Lahore,GitHub,Lahore,Lahore,Pakistan,31.5656822,74.3141829,medium
ikergarcia1996,github_user,Donostia - San Sebastián ,GitHub,Donostia - San Sebastián,Donostia / San Sebastián,Spain,43.3224219,-1.9838889,medium
intfloat,github_user,"Beijing, China",GitHub,"Beijing, China",Beijing,China,39.9042,116.4074,high
springboot4,github_user,,GitHub,,,,,,none
f,github_user,"Istanbul, Turkey",GitHub,"Istanbul, Turkey",Istanbul,Turkey,41.0082,28.9784,high
langchain-ai,github_organization,United States of America,GitHub,United States of America,,,,,low
