author,entity_type,raw_location,source,status,fetched_at
01-ai,organization,"Beijing, China",manual,manual,
0RisingStar0,unknown,,unmatched,skipped,
0xDing,user,Solar System,cached_github,ok,
0xJustin,unknown,,unmatched,skipped,
0xgr3y,unknown,,unmatched,skipped,
1-800-BAD-CODE,unknown,,unmatched,skipped,
1038lab,unknown,,unmatched,skipped,
152334H,user,Singapore,cached_github,ok,
1Covenant,unknown,,unmatched,skipped,
1aurent,unknown,,unmatched,skipped,
1bitLLM,unknown,,unmatched,skipped,
229nagibator229,unknown,,unmatched,skipped,
22h,unknown,,unmatched,skipped,
2Noise,unknown,,unmatched,skipped,
2toINF,user,China,cached_github,ok,
3loi,unknown,,unmatched,skipped,
51la5,unknown,,unmatched,skipped,
5CD-AI,unknown,,unmatched,skipped,
ABDALLALSWAITI,unknown,,unmatched,skipped,
AGBonnet,user,Paris,cached_github,ok,
AI-Growth-Lab,unknown,,unmatched,skipped,
AI-Lab-Makerere,unknown,,unmatched,skipped,
AI-MO,organization,"Paris, France",manual,manual,
AI-Safeguard,unknown,,unmatched,skipped,
AI-Secure,organization,University of Illinois at Urbana-Champaign,cached_github,ok,
AI-Sweden-Models,unknown,,unmatched,skipped,
AI4Chem,unknown,,unmatched,skipped,
AI4Math,unknown,,unmatched,skipped,
AI4Protein,unknown,,unmatched,skipped,
AI4Science-WestlakeU,unknown,,unmatched,skipped,
AIDC-AI,organization,"Hangzhou, China",manual,manual,
AIEnergyScore,unknown,,unmatched,skipped,
AIGC-Audio,unknown,,unmatched,skipped,
AIIAR,unknown,,unmatched,skipped,
AIJUUD,unknown,,unmatched,skipped,
AILab-CVC,unknown,,unmatched,skipped,
AIR-Bench,unknown,,unmatched,skipped,
AISHELL,unknown,,unmatched,skipped,
AITeamVN,unknown,,unmatched,skipped,
AInVFX,unknown,,unmatched,skipped,
AP-HP,unknown,,unmatched,skipped,
AP123,unknown,,unmatched,skipped,
APRIL-AIGC,unknown,,unmatched,skipped,
ARTPARK-IISc,unknown,,unmatched,skipped,
ASLP-lab,unknown,,unmatched,skipped,
