full_id,hf_type,tier,likes,n_commits,n_authors_real,n_authors_all,error
OpenBuddy/openbuddy-yi1.5-34b-v21.3-32k,model,low,0,5.0,2.0,2.0,
DeepChem/ChemBERTa-100M-MLM,model,low,4,3.0,1.0,1.0,
cross-encoder/ms-marco-TinyBERT-L6,model,low,2,23.0,5.0,6.0,
OpenMed/OpenMed-NER-ChemicalDetect-TinyMed-135M,model,low,0,3.0,1.0,1.0,
OpenMed/OpenMed-NER-DNADetect-PubMed-v2-109M,model,low,0,3.0,1.0,1.0,
PaDaS-Lab/gbert-legal-ner,model,low,14,9.0,2.0,2.0,
DoeyLLM/OneLLM-Doey-V1-Llama-3.2-1B-it-Q8_0-GGUF,model,low,0,7.0,1.0,1.0,
ibm-granite/granite-embedding-30m-english,model,low,29,16.0,4.0,4.0,
Synthyra/ESMplusplus_large,model,low,17,178.0,1.0,1.0,
opendatalab/meta-rater-readability-rating,model,low,2,6.0,1.0,1.0,
jhu-clsp/ettin-encoder-150m,model,low,10,240.0,2.0,2.0,
timm/fastvit_t8.apple_dist_in1k,model,low,1,4.0,4.0,4.0,
nvidia/Frame_VAD_Multilingual_MarbleNet_v2.0,model,low,38,38.0,1.0,1.0,
timm/swin_large_patch4_window12_384.ms_in22k_ft_in1k,model,low,0,4.0,3.0,3.0,
shuyuej/Llama-3.2-1B-Instruct-GPTQ,model,low,4,11.0,1.0,1.0,
optimum-intel-internal-testing/tiny-random-GPTNeoModel,model,low,0,2.0,1.0,1.0,
NousResearch/Llama-3.2-1B,model,low,19,2.0,1.0,1.0,
OpenMed/OpenMed-ZeroShot-NER-Pharma-Tiny-60M,model,low,0,3.0,1.0,1.0,
timm/vit_large_patch16_dinov3.lvd1689m,model,low,0,7.0,1.0,1.0,
unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit,model,low,4,5.0,2.0,2.0,
circulus/kobart-correct-v1,model,low,0,3.0,1.0,1.0,
BCCard/Qwen3-Coder-480B-A35B-Instruct-FP8-Dynamic,model,low,0,3.0,1.0,1.0,
magic-leap-community/superpoint,model,low,24,9.0,5.0,5.0,
OpenMed/OpenMed-NER-OrganismDetect-SuperClinical-184M,model,low,0,3.0,1.0,1.0,
timm/inception_v4.tf_in1k,model,low,4,4.0,3.0,3.0,
ml6team/keyphrase-extraction-kbir-inspec,model,mid,134,48.0,2.0,2.0,
unsloth/Qwen3-235B-A22B-Instruct-2507-GGUF,model,mid,114,67.0,2.0,2.0,
unsloth/Qwen2.5-Coder-32B-Instruct-128K-GGUF,model,mid,75,10.0,2.0,2.0,
Undi95/MistralThinker-v1.1,model,mid,84,13.0,1.0,1.0,
SUFE-AIFLM-Lab/Fin-R1,model,mid,225,12.0,1.0,1.0,
mistralai/Magistral-Small-2509-GGUF,model,mid,72,3.0,2.0,2.0,
dranger003/c4ai-command-r-plus-iMat.GGUF,model,mid,141,175.0,2.0,2.0,
ostris/zimage_turbo_training_adapter,model,mid,132,6.0,1.0,1.0,
clouditera/secgpt,model,mid,102,25.0,3.0,3.0,
peteromallet/Qwen-Image-Edit-InSubject,model,mid,84,8.0,1.0,1.0,
bigscience/bloomz-7b1,model,mid,147,15.0,5.0,5.0,
internlm/internlm3-8b-instruct,model,mid,230,17.0,5.0,5.0,
Intelligent-Internet/II-Medical-32B-Preview,model,mid,53,6.0,2.0,2.0,
mixedbread-ai/deepset-mxbai-embed-de-large-v1,model,mid,58,25.0,9.0,9.0,
